reviewer,ratings,tilte,review_link,review_date_place,variant_name,variant_link,verified,review_body,helpful,review_comments
AK,5.0 out of 5 stars,Totally VFM close your eyes and Go for it,https://www.amazon.in/gp/customer-reviews/R1W2R7PFN1JCT8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 25 July 2020,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"i don't normally spend more than 500 bucks on a earphone but now during calls (wfh) folks used to keep complaining about background noise and so i thought of buying a good earphone , bought these for some 1600/- and i know the difference between a cheap earphone and good quality one now. totally worth the price. was delivered within 24 hours that too.",,0
Shubhendu S.,5.0 out of 5 stars,"2yrs 11mnths going on working all good, truly this brand needs no promotion",https://www.amazon.in/gp/customer-reviews/R1TZXZG2FCZ4P5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 2 October 2019,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I have never posted review for any stuff I bought, this is for the 1st time I dedicated time to post this, because I feel proud to have such a masterpiece which is highly rated and recommended in music industry.Sennheiser Cx180 Street 2 earphone is one of the best when it comes to sound quality and durability.  Bass and Treble are on little high and balancing Mid overall professional  audio quality, if you are new to earphones and you are okay with no microphone consider this as your first purchase and you won't regret it.I purchased this on November 2016 and it's been 2years & 11months and only the logo of Sennheiser which was glued lost plus some twists in wire near the housing both left and right, little of grey covering came out near the housing, due to continuous usage in sweaty environment (like Jogging) but still working excellent like new one.It's noise cancellation is heavy, Warning don't wear this while walking on a busy road. You won't even get a honk behind you when the volume is little more (3 presses more than medium).The perfect bass that everyone will love to enjoy to the rhythm of the song be it pop, hip-hop or rock you will end up banging head feeling the clear beats.Enclosing some pics taken on 2nd October 2019.",One person found this helpful,0
Amazon Customer,5.0 out of 5 stars,Perfect headphone for this price,https://www.amazon.in/gp/customer-reviews/R3K100KI4H3KUG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 11 October 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I bought this awesome headphone last year & i have been using it very roughly,trust me i am still using it in gym also i bet you won't find a headphone in this price range with this much quality ""hats off sennheiser "" i know you guys will suggest some other brands as competition & yes they are still pretty close too but sennheiser will always a level up with the clarity sound and punchy bass and mind blowing noise cansellation. Love you so much sennheiser ,piece",2 people found this helpful,0
Sumeeth Krishna,5.0 out of 5 stars,After 1 year of use,https://www.amazon.in/gp/customer-reviews/RES8XHGUO7ELK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 11 December 2019,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Definitely a very good earphone which I got it for 1200rs on some sale days.It looks small with mic with a button.Sound quality is very good and clarity of the music is super.Wire is long enough and quality of wire is not that strong so it should be handled delicately.It is a very good product even today, if you get a good price than the above mentioned price go for it.",,0
SithLordReviews,5.0 out of 5 stars,BEST INEARs gaming better than HyperX models,https://www.amazon.in/gp/customer-reviews/R3ONVXS45N9SKC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 25 April 2020,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Pros:1. PREMIUM BUILD-QUALITY2. Awesome sounds positioning3. High mids and treble plus good bass4. Price to PERFORMANCE exceeds expectationCon:Cant find any :) I have hyperX cloud stinger, funny to say that the footsteps are alot clearer with this headphone. Its amazing.Im a techie/gamer and I love reviewing awesome product",,0
Amazon Customer,5.0 out of 5 stars,Comparison,https://www.amazon.in/gp/customer-reviews/R3PCSXVUNZZVIY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 1 February 2020,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Very good product from sennheiser.Sound clarity 5/5Bass 4/5Mid 4/5Good balance sound1.If you love instrumental and acoustic like bollywood, English music than go for it surely2.if you like more bass like in punjabi songs than go for jbl c100si3.if you love to watch movies and want cinematic experience with good isolation than you should go for boat bassheads 225.",One person found this helpful,0
Babar,5.0 out of 5 stars,An Old User,https://www.amazon.in/gp/customer-reviews/RVPB96XW18NP0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 16 August 2020,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Today I have ordered this handsfree for the 3rd time yeah you heard it right I have been using this for almost 4 years now, whenever I face issue in middle I got new handsfree from the service center without any time waste or any questions, the customer support is priceless and when it comes to the performance it's fine piece of engineering with great sound outputpros:-Well detailed and crystal clear sound quality-Balanced Bass and Treble-Too comfortable even after 4-5 hours of usage you won't feel pain or any discomfort in your ears-overall its light weightcons:-The biggest con is that it doesn't have a microphone but if you don't require it like me then go for it-if you like heavy bass you'ill be disappointed, its more into balanced bass",,0
Vinay Mahajan,5.0 out of 5 stars,*HONEST 3 YEARS REVIEW*,https://www.amazon.in/gp/customer-reviews/R29PB3KPL8P93H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 23 January 2020,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Legit the best earphones in this range!! Excellent sound quality, bass is good!. Noise cancellation is great compared to competitors.(Much of these also depends on the correct size of the earbuds you choose, with this product you'll get 3 different sizes to choose from).There's also a L shaped connector so as the wire doesn't get damaged while keeping in pocket.With this product you do get world renowned Sennheiser after sales experience and also this is the only brand which offers *2 YEARS OF WARRANTY*!!!And yes Sennheiser is very generous with their warranty, they'll happily replace the damaged product.(telling from my personal experience)Overall, you should definitely go with this product.!!!",,0
Nazir,2.0 out of 5 stars,I would prefer Realme ear buds 2 over this one,https://www.amazon.in/gp/customer-reviews/R2QY5Z4HXRNGH9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 7 February 2020,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I used this one and realme earbuds 2 on 5th feb for few hours , there is sky high difference between realme and sennheiser sound quality and for me realme earbuds 2 is great which i bought only for 599 . when i put senheiser earphone on my ear i dont feel i am wearing headphone no pain on my ear fits well and great but realme makes pain in ear after long time . Trust me dont buy this headphone not worth it i think this one feels like 300Rs. sennheiser earphone . You can purchase to try and than return it like i did . and the cable so cheap .",,0
sangram,5.0 out of 5 stars,good sound quality with good bass not extra bass and noise cancellation is just ok ok,https://www.amazon.in/gp/customer-reviews/R1QQMXTYRR47N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 11 June 2020,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,sound quality is very good no added extra bass but gives good amount of quality bass sound. noise cancellation is just ok ok i will say  in that department ant audio w56 was good.and ant audio w56 have just 1 or 2 % extra in bass then sennhizer street2 (180).in case wire quality i will say very thin .i feel like if i pull it little hardly it will get torned,,0
Prashant Patankar,5.0 out of 5 stars,THE best headphone,https://www.amazon.in/gp/customer-reviews/R2OT217EMCBO8L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 24 May 2020,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Writing this review after 2 years of use. I have all type of headphone but this is has awesome quality our of all. Bass is very good, vocals are clear and sound profile is something with is unique for the brand which you don't get in any other earphones. Durability wise this is definitely very durable, I have it for 2 year and still working like champ.",,0
Vasant Verma,5.0 out of 5 stars,Simply awesome!!,https://www.amazon.in/gp/customer-reviews/R35L3UC8WDPY6P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 9 September 2019,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Bought it for 1650 Rs.Packing was very good.Build quality  is quite good based on my usuage till now.The wire is not tangle free. I always use the pouch to keep the earphones safe from outside dust.I hope it will last for more than 2 years.The next thing I love about these earphones is sound clarity and the bass which makes me feels like I am the  movies in theatre.Nose cancellation is good if the volume is more than 50 percent. I love to make calls using these earphones due to its clarity in the call.I have used JBL,Mi and boat earphones but i think Its worth buying if you don't like purchasing earphones after every six months.",One person found this helpful,0
Tathagata Misra,5.0 out of 5 stars,Best earphones within the price range.,https://www.amazon.in/gp/customer-reviews/R2M9OJ2LBG07IC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 24 January 2019,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,Has been using Sennheiser earphones for quite sometime and still now never been disappointed. Best in class sound clarity and even better after sales services.If you are thinking of buying earphones then it's the best option.period.,2 people found this helpful,0
KG,3.0 out of 5 stars,"Good sound quality, however not very convenient",https://www.amazon.in/gp/customer-reviews/R17JW12V0Y644A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 15 December 2019,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"No doubt it has great sound quality. However, there many other disadvantages that will make me stop from using them soon.1. The noise cancellation has a side effect. It gives a feeling of your ear being closed like you feel when flights land. This is counter productive as I use it for my work calls on laptop and constantly feel this is very annoying2. Wire is thin and gets tangled easily. It takes some time n effort to untangle each day3. They don't stick around very week. Slightest of pull and these come off easily. I have been used to of Bose Soundsport in-ear for last 4 years, and clearly I will have to go back to them. Unfortunately, Bose have discontinued those.Giving 3 star as sound quality is as promised.",,0
Darren,4.0 out of 5 stars,Good pair of Earphones.,https://www.amazon.in/gp/customer-reviews/R2N5UHH5DK8TGN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 30 January 2020,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I loved my Sennheiser CX 275 S, it was a blend of everything we wanted from a pair of Earphones.I used mine for roughly 4-5 months and it worked fine, until it broke suddenly.If you are going to buy these earphones, remember, it cannot be rough handled, it can cut if even a little pressure/force is exerted on it.I had my pair plugged into my phone, and when I stood up, the wire got caught up to a switch or something, because of this, the wire snapped, leaving the pin still in my phone.So like this, small amounts of force/pressure too can damage the earphones.Otherwise, the audio output is good, the design looks good, but the durability is not up to the mark.",,0
Kader Mohideen M,4.0 out of 5 stars,Non-audiophile review,https://www.amazon.in/gp/customer-reviews/R9IFIAGCZRUHD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 22 April 2015,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I am not an audiophile so i will not go into the details about highs, mids and lows but this is the best music experience I've had with a headphone so far. Far better than any skullcandys in the range.As a non-audiophile i felt the music was full and rich. There is not too much bass but will produce only as much bass as present in the audio file. Personally I don't like overpowered bass.The finger grove design makes it easy for you to adjust placement of the bud in the ear.The cable length and quality is perfect not to mention the 2-years warranty which makes this a solid buy. The cable is not tangle free but will not give you a hard time untangling it.Defenitely worth the buy if you get a good deal.",5 people found this helpful,0
Amazon Customer,1.0 out of 5 stars,Amazon please improve your product standard,https://www.amazon.in/gp/customer-reviews/R3EKXGGYDHSR5S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 5 January 2019,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,I purchased this earphone a few days back and firstly the product that was delivered to me was defective.I replaced the same and it was delivered to me the next day itself.However the replacement is now not working properly and mic is also not responding.I feel cheated twice after such an experience.Will have to consider whether to shop again from Amazon.,3 people found this helpful,0
Ashok Kumar Mahato,3.0 out of 5 stars,Best quality for listening but bad quality for long lasting,https://www.amazon.in/gp/customer-reviews/R3IHBH2UM51QC9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 11 August 2020,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,It is really good product although it has pros & consPrso:-i) good sound quality  ii) supporting with all mobiles & other accessories....  iii) Air tight & little noise free..  iv) very worthy for movies & web series watching  v) lengthy wire more or less  Cons:-i) it is not so good & pure as compared to previous products  ii) the wire is too thin & very prone to be torn our or worn out...  iii)uncomfortablefor long duration if you listen for long time the ear will be ringing & feeling irrataed on ear.  v)as it is air tight so outer sound you can't hear ........  vi)In terms of price there is no microphone ... really disappointing.....  Conclusion:-if you are extravagant then you can buy this one .....but sound quality is really good you can hear every bits & pure bass of original sound ..........,,0
Pritam,5.0 out of 5 stars,Best Earphone For Music Lovers!,https://www.amazon.in/gp/customer-reviews/R3TMIG2OCT7OWL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 5 June 2020,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"If you are not into overpowering bass that ruins the mids and highs, if you want to listen to musics in their true forms but you don't have a massive budget then just go for it.Still here are the pros and cons after using it for over 6 months, so you can decide better.Pros:1. Nice balanced sound2. Enough bass3. Nice packaging4. Proper mids and highsCons:1. Flimsy build quality2. Short wire3. Not so good noise cancellation",,0
Abhishek,5.0 out of 5 stars,Best budgeted,https://www.amazon.in/gp/customer-reviews/R11EUPWT9KEQ4V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 10 October 2019,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Hlw guys, i was gathering info. About earphones under 1000.. So found out 2 best earphones in this category, believe me these 2 are best in this price.1. Ofcourse sennheiser cx 1802. 1more piston fitThese two like champ in this price segment.And before sennheiser cx 180 I used famous boat bassheads 225. So. It honest review Sennheiser cx 180 is better in every field (except build quality but sennheiser give us 2 year warranty which is really good ) sound quality, trible and even Bass then boat bassheads 225So, I hope its helpful to you guys.Piece",One person found this helpful,0
Abhijeet J.,4.0 out of 5 stars,"Bass quality is not up to the mark, however overall quality is good.",https://www.amazon.in/gp/customer-reviews/R316VHDHZIZOIK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 1 August 2020,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I ordered it because of reviews. I was looking for enhanced bass quality. This headphones don't match the quality I am looking for, but sound clarity and noise cancellation is far better than the one I currently use. I am not going to return it as it offers awesome sound clarity though it doesn't offer good quality bass. Still I am satisfied.",,0
Chris nair,4.0 out of 5 stars,Not for audiophiles only bass head and college students club buy mi basic if cx cost morethan Rs700,https://www.amazon.in/gp/customer-reviews/R3J20T9SGREFNX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 21 September 2019,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"This product majorly consists of bass and loudness these two components are which makes this product noise isolating and mids are okay and highs are also good enough i will recommend this earphone only for bass heads and college students as this has okay build quality it will not  break easily unless harshly pulled and again it is not for audiophiles, it is a great buy at 600 to 700 bucks if price is high don't pay any more just buy mi basic for the same price at 700 bucks it has better sound quality and better ruggedness it has been washed once and tested!",,0
PRATAP BISWAS,4.0 out of 5 stars,Excellent but low sturdiness !,https://www.amazon.in/gp/customer-reviews/R2W62LW83V335J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 4 October 2019,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,Perfectly balanced sound. Has a nice bass as well as good vocals & the microphone is best in class. Over all it's better than Creative EP 630. And way better than Skullcandy 1000-1500K earphones !Only one drawback-- The wires are very thing and aren't that much sturdy ! Use with care. You must clean the inner dust and ear deposits with surgical cotton every month. With good care it will definitely last 3+ years.,,0
Deepanshu Bisht,4.0 out of 5 stars,Great sounds quality but Low built quality,https://www.amazon.in/gp/customer-reviews/RDI1ZQ6I00WCY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 20 September 2020,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I have used several earphones as I'm a college student so I regularly do up and down form college to home and via versa.Used mi basic @ 399 - sounds was good but during 6 months of usage I need to replace them 4 times.Used boat 225 @ 498 - after using mi basic I went for boat earphone as they were providing one year warranty but I need to replace them once throw out one year of usage, sound was not that great bass was muddy, but built was good.Using sennheiser CX 180 street 2 - currently using them I brought the same on 21st July 2020 after lock down, I must say the sound quality is superb base was great all over sound is the main quality of these earphone, but built is not good after 4 months of usage not that wrought usage wire is broken, inner wire is still hold each other but outer coverage is broken.",,0
Sandy rawat,4.0 out of 5 stars,Buy it if u dont need mic,https://www.amazon.in/gp/customer-reviews/R4G0QTFSEU4YV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 10 December 2019,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,Reviews after 6 months of using so that reality will be helpful....4 star because in this price mic also builds with product.sound quality is good .but if u r bass lover then go for other  ...whose i dont know but chose as our choicedurability is fine just like i say review after 6 month of use and dnot have any problems about Quality.,,0
Ajay Kumar,5.0 out of 5 stars,Beast Bass and great sound!,https://www.amazon.in/gp/customer-reviews/R3S191TQ1KL19S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 5 June 2019,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Sennheiser cx 180 is the best u can expect of under RS 1000. I personally bought it at RS 700 and I am really very happy for my decision.I have used some good earphone's and I have also gone through many reviews and having a little knowledge about their performance.I am giving my final verdict on it.SOUND QUALITY: 9.8/10Sound is really great as comparable to boat,jbl,sony, ADL at this range.NOISE CANCELLATION: 9.9/10It blocks all the noise outside as is said by the company. It also doesn't leak noise.BASS QUALITY: 10/10At this price u can not get more bass than this.It actually doesn't need any equalizer,though it is enhanced by it.lt is really very loud and clear.My FINAL VERDICT is that if u want to buy a good pair of earphones then don't waste your time and money go for it.It also gives security of 2 yrs.",,0
shravan reddy,4.0 out of 5 stars,Size of pods and tips just right for small ear,https://www.amazon.in/gp/customer-reviews/R2P6GVBEU0PC4W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 29 March 2019,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"PS: This review is post 3 days of use.I'm a habitual loser of earphones and have cycled through so many in ear earphones by now that its crazy. Up until these headphones I was mystified how anyone found in-ear headphones comfortable. I could never listen to anything for over 30-40 mins from such earphones. I realized I have earlobes which are probably on the smaller side and typical apple earpods or other earpods with rubber tips were just too big for my ear which caused the discomfort. It's not just that the tips of the pods are right size but the pods themselves are also on the smaller side and fit very snugly in the cave of the ear. They dont slide out even when your head is on pillow or a headrest. The sound quality is unbeatable for the price. The product fits well for people with following requirements:1) Not too pricey but pretty decent quality.2) Good fit for smaller earlobes/ears.3) Travel friendly as you dont need special cases. Its a standard earphone. Just grab, fold, dump and go. Although I havent faced any problem so far but the wires seem a little less durable. For longer vacations I use over the phones that are a lot more comfortable and have better noise cancellation.4) This is important - THERE IS NO MIC. So if you are ok using phone speaker while taking calls, you are peach. My calls typically last a max of 3-5 mins",,0
Shaikh,4.0 out of 5 stars,Sennheiser Cx 180,https://www.amazon.in/gp/customer-reviews/R3NO4FUUOHJLO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 16 June 2020,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I've been looking for a budget earphone for a long time.built quality better than average bit not the best. it looks good, delicate, easy to wear for a longer duration, even you can sleep while listening to this on ur sides.It has a good bass and sound quality is also good, it is loud and clear but still I am not satisfied with the sound I need something more with Sennheiser company maybe I'll try and look for different earphone.Overall it's a very good product but I don't know it lacks x factor.",,0
Sarthak,4.0 out of 5 stars,"Sounds great, literally. Sad Wires tho.",https://www.amazon.in/gp/customer-reviews/R33ERQT05YYRYG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 25 January 2020,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"~ Build - At first glance they look really fragile because the wires are thin and made of the old 'rubber'. You can't just throw 'em around.~ Comfort - They are quite comfortable. They don't have that 45° thing fitting tho.~ Sound - This is what makes these earphones worth it. Awesome sound. Good bass. I don't know why, but at really low volumes I can hear some disturbance, which can be easily ignored actually.Final Verdict - Go for it if you aren't careless about stuff. Satisfying listening experience otherwise.P.S. - No Mic. Not a fuss really.",,0
Kiran Thorve,3.0 out of 5 stars,Sennheiser or JBL ... Genuine Review...,https://www.amazon.in/gp/customer-reviews/R3MAE6GUT5LLDF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 3 October 2019,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I am big fan of Sennheiser  I already used Sennheiser CX180 (without mic), JBL C100S (₹549) after through advertisement I impressed by Sennheiser CX 275 S but i think it is too much costly...  I would suggest if u want headphones with mic then JBL is THE best and if u are fan of music the go for Sennheiser CX180 (no better I found/used)... Today ( 3rd oct 2019 ) I am using Sennheiser CX 275 but I am not happy with this product and I ordered Sennheiser CX180 (without mic).Thanks",,0
Dr Jitu M,3.0 out of 5 stars,Overhyped product,https://www.amazon.in/gp/customer-reviews/R3PEPR3LL9VAH9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 20 October 2019,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,Overhyped productThis earphones disappointed me badly. Bought them after hearing and reading so much about them but it all was meaningless when I heard over these earphones multiple songs. Sound quality is average nothing more than average earphones of 300 to 200 rupees..forgetabout bass if you love them go to boat or jbl these are not for you. Noise cancellation is average to none.  Don't go by online reviews. Don't repeat my mistake. Go for boat or jbl,,0
Ankur Kumar,1.0 out of 5 stars,Bass 0,https://www.amazon.in/gp/customer-reviews/R3OIHXW8K6HFOG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 5 September 2019,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I am an audiophile, I have used CX-180 street 2 in past and I use Sony XB-550AP and have an iPhone so I use its earphones personally and tested a lot of friends and family. So now that you know that I have used variety of In-Ear/On the ear headphones you should know that these are just complete waste! The bass in my iPhone and my Laptop was FLAT, the songs I played so that you know the bass in these songs is God Level and are fine to test any earphone- Attention by Charlie Puth, All I ever Wanted by Basshunter and several more to cross check. Also I received a teared package which I would've been fine with had I received a nice product. DO NOT BUY!!!",One person found this helpful,0
